0.000 0.000 0.000
0.000 0.053 0.000
0.000 0.105 0.000
0.000 0.158 0.000
0.000 0.211 0.000
0.000 0.263 0.000
0.000 0.316 0.000
0.000 0.368 0.000
0.000 0.421 0.000
0.000 0.474 0.000
0.000 0.526 0.000
0.000 0.579 0.000
0.000 0.632 0.000
0.000 0.684 0.000
0.000 0.737 0.000
0.000 0.789 0.000
0.000 0.842 0.000
0.000 0.895 0.000
0.000 0.947 0.000
0.000 1.000 0.000

0.053 0.000 0.184
0.053 0.053 0.174
0.053 0.105 0.164
0.053 0.158 0.155
0.053 0.211 0.145
0.053 0.263 0.135
0.053 0.316 0.126
0.053 0.368 0.116
0.053 0.421 0.106
0.053 0.474 0.097
0.053 0.526 0.087
0.053 0.579 0.077
0.053 0.632 0.068
0.053 0.684 0.058
0.053 0.737 0.048
0.053 0.789 0.039
0.053 0.842 0.029
0.053 0.895 0.019
0.053 0.947 0.010
0.053 1.000 0.000

0.105 0.000 0.260
0.105 0.053 0.246
0.105 0.105 0.232
0.105 0.158 0.219
0.105 0.211 0.205
0.105 0.263 0.191
0.105 0.316 0.178
0.105 0.368 0.164
0.105 0.421 0.150
0.105 0.474 0.137
0.105 0.526 0.123
0.105 0.579 0.109
0.105 0.632 0.096
0.105 0.684 0.082
0.105 0.737 0.068
0.105 0.789 0.055
0.105 0.842 0.041
0.105 0.895 0.027
0.105 0.947 0.014
0.105 1.000 0.000

0.158 0.000 0.318
0.158 0.053 0.301
0.158 0.105 0.284
0.158 0.158 0.268
0.158 0.211 0.251
0.158 0.263 0.234
0.158 0.316 0.218
0.158 0.368 0.201
0.158 0.421 0.184
0.158 0.474 0.167
0.158 0.526 0.151
0.158 0.579 0.134
0.158 0.632 0.117
0.158 0.684 0.100
0.158 0.737 0.084
0.158 0.789 0.067
0.158 0.842 0.050
0.158 0.895 0.033
0.158 0.947 0.017
0.158 1.000 0.000

0.211 0.000 0.367
0.211 0.053 0.348
0.211 0.105 0.328
0.211 0.158 0.309
0.211 0.211 0.290
0.211 0.263 0.270
0.211 0.316 0.251
0.211 0.368 0.232
0.211 0.421 0.213
0.211 0.474 0.193
0.211 0.526 0.174
0.211 0.579 0.155
0.211 0.632 0.135
0.211 0.684 0.116
0.211 0.737 0.097
0.211 0.789 0.077
0.211 0.842 0.058
0.211 0.895 0.039
0.211 0.947 0.019
0.211 1.000 0.000

0.263 0.000 0.410
0.263 0.053 0.389
0.263 0.105 0.367
0.263 0.158 0.346
0.263 0.211 0.324
0.263 0.263 0.302
0.263 0.316 0.281
0.263 0.368 0.259
0.263 0.421 0.238
0.263 0.474 0.216
0.263 0.526 0.194
0.263 0.579 0.173
0.263 0.632 0.151
0.263 0.684 0.130
0.263 0.737 0.108
0.263 0.789 0.086
0.263 0.842 0.065
0.263 0.895 0.043
0.263 0.947 0.022
0.263 1.000 0.000

0.316 0.000 0.450
0.316 0.053 0.426
0.316 0.105 0.402
0.316 0.158 0.379
0.316 0.211 0.355
0.316 0.263 0.331
0.316 0.316 0.308
0.316 0.368 0.284
0.316 0.421 0.260
0.316 0.474 0.237
0.316 0.526 0.213
0.316 0.579 0.189
0.316 0.632 0.166
0.316 0.684 0.142
0.316 0.737 0.118
0.316 0.789 0.095
0.316 0.842 0.071
0.316 0.895 0.047
0.316 0.947 0.024
0.316 1.000 0.000

0.368 0.000 0.486
0.368 0.053 0.460
0.368 0.105 0.434
0.368 0.158 0.409
0.368 0.211 0.383
0.368 0.263 0.358
0.368 0.316 0.332
0.368 0.368 0.307
0.368 0.421 0.281
0.368 0.474 0.256
0.368 0.526 0.230
0.368 0.579 0.204
0.368 0.632 0.179
0.368 0.684 0.153
0.368 0.737 0.128
0.368 0.789 0.102
0.368 0.842 0.077
0.368 0.895 0.051
0.368 0.947 0.026
0.368 1.000 0.000

0.421 0.000 0.519
0.421 0.053 0.492
0.421 0.105 0.464
0.421 0.158 0.437
0.421 0.211 0.410
0.421 0.263 0.383
0.421 0.316 0.355
0.421 0.368 0.328
0.421 0.421 0.301
0.421 0.474 0.273
0.421 0.526 0.246
0.421 0.579 0.219
0.421 0.632 0.191
0.421 0.684 0.164
0.421 0.737 0.137
0.421 0.789 0.109
0.421 0.842 0.082
0.421 0.895 0.055
0.421 0.947 0.027
0.421 1.000 0.000

0.474 0.000 0.551
0.474 0.053 0.522
0.474 0.105 0.493
0.474 0.158 0.464
0.474 0.211 0.435
0.474 0.263 0.406
0.474 0.316 0.377
0.474 0.368 0.348
0.474 0.421 0.319
0.474 0.474 0.290
0.474 0.526 0.261
0.474 0.579 0.232
0.474 0.632 0.203
0.474 0.684 0.174
0.474 0.737 0.145
0.474 0.789 0.116
0.474 0.842 0.087
0.474 0.895 0.058
0.474 0.947 0.029
0.474 1.000 0.000

0.526 0.000 0.580
0.526 0.053 0.550
0.526 0.105 0.519
0.526 0.158 0.489
0.526 0.211 0.458
0.526 0.263 0.428
0.526 0.316 0.397
0.526 0.368 0.367
0.526 0.421 0.336
0.526 0.474 0.305
0.526 0.526 0.275
0.526 0.579 0.244
0.526 0.632 0.214
0.526 0.684 0.183
0.526 0.737 0.153
0.526 0.789 0.122
0.526 0.842 0.092
0.526 0.895 0.061
0.526 0.947 0.031
0.526 1.000 0.000

0.579 0.000 0.609
0.579 0.053 0.577
0.579 0.105 0.545
0.579 0.158 0.513
0.579 0.211 0.481
0.579 0.263 0.449
0.579 0.316 0.416
0.579 0.368 0.384
0.579 0.421 0.352
0.579 0.474 0.320
0.579 0.526 0.288
0.579 0.579 0.256
0.579 0.632 0.224
0.579 0.684 0.192
0.579 0.737 0.160
0.579 0.789 0.128
0.579 0.842 0.096
0.579 0.895 0.064
0.579 0.947 0.032
0.579 1.000 0.000

0.632 0.000 0.636
0.632 0.053 0.602
0.632 0.105 0.569
0.632 0.158 0.535
0.632 0.211 0.502
0.632 0.263 0.468
0.632 0.316 0.435
0.632 0.368 0.402
0.632 0.421 0.368
0.632 0.474 0.335
0.632 0.526 0.301
0.632 0.579 0.268
0.632 0.632 0.234
0.632 0.684 0.201
0.632 0.737 0.167
0.632 0.789 0.134
0.632 0.842 0.100
0.632 0.895 0.067
0.632 0.947 0.033
0.632 1.000 0.000

0.684 0.000 0.662
0.684 0.053 0.627
0.684 0.105 0.592
0.684 0.158 0.557
0.684 0.211 0.522
0.684 0.263 0.488
0.684 0.316 0.453
0.684 0.368 0.418
0.684 0.421 0.383
0.684 0.474 0.348
0.684 0.526 0.313
0.684 0.579 0.279
0.684 0.632 0.244
0.684 0.684 0.209
0.684 0.737 0.174
0.684 0.789 0.139
0.684 0.842 0.104
0.684 0.895 0.070
0.684 0.947 0.035
0.684 1.000 0.000

0.737 0.000 0.687
0.737 0.053 0.651
0.737 0.105 0.614
0.737 0.158 0.578
0.737 0.211 0.542
0.737 0.263 0.506
0.737 0.316 0.470
0.737 0.368 0.434
0.737 0.421 0.398
0.737 0.474 0.361
0.737 0.526 0.325
0.737 0.579 0.289
0.737 0.632 0.253
0.737 0.684 0.217
0.737 0.737 0.181
0.737 0.789 0.145
0.737 0.842 0.108
0.737 0.895 0.072
0.737 0.947 0.036
0.737 1.000 0.000

0.789 0.000 0.711
0.789 0.053 0.673
0.789 0.105 0.636
0.789 0.158 0.599
0.789 0.211 0.561
0.789 0.263 0.524
0.789 0.316 0.486
0.789 0.368 0.449
0.789 0.421 0.412
0.789 0.474 0.374
0.789 0.526 0.337
0.789 0.579 0.299
0.789 0.632 0.262
0.789 0.684 0.224
0.789 0.737 0.187
0.789 0.789 0.150
0.789 0.842 0.112
0.789 0.895 0.075
0.789 0.947 0.037
0.789 1.000 0.000

0.842 0.000 0.734
0.842 0.053 0.695
0.842 0.105 0.657
0.842 0.158 0.618
0.842 0.211 0.580
0.842 0.263 0.541
0.842 0.316 0.502
0.842 0.368 0.464
0.842 0.421 0.425
0.842 0.474 0.386
0.842 0.526 0.348
0.842 0.579 0.309
0.842 0.632 0.270
0.842 0.684 0.232
0.842 0.737 0.193
0.842 0.789 0.155
0.842 0.842 0.116
0.842 0.895 0.077
0.842 0.947 0.039
0.842 1.000 0.000

0.895 0.000 0.757
0.895 0.053 0.717
0.895 0.105 0.677
0.895 0.158 0.637
0.895 0.211 0.597
0.895 0.263 0.558
0.895 0.316 0.518
0.895 0.368 0.478
0.895 0.421 0.438
0.895 0.474 0.398
0.895 0.526 0.358
0.895 0.579 0.319
0.895 0.632 0.279
0.895 0.684 0.239
0.895 0.737 0.199
0.895 0.789 0.159
0.895 0.842 0.119
0.895 0.895 0.080
0.895 0.947 0.040
0.895 1.000 0.000

0.947 0.000 0.779
0.947 0.053 0.738
0.947 0.105 0.697
0.947 0.158 0.656
0.947 0.211 0.615
0.947 0.263 0.574
0.947 0.316 0.533
0.947 0.368 0.492
0.947 0.421 0.451
0.947 0.474 0.410
0.947 0.526 0.369
0.947 0.579 0.328
0.947 0.632 0.287
0.947 0.684 0.246
0.947 0.737 0.205
0.947 0.789 0.164
0.947 0.842 0.123
0.947 0.895 0.082
0.947 0.947 0.041
0.947 1.000 0.000

1.000 0.000 0.800
1.000 0.053 0.758
1.000 0.105 0.716
1.000 0.158 0.674
1.000 0.211 0.632
1.000 0.263 0.589
1.000 0.316 0.547
1.000 0.368 0.505
1.000 0.421 0.463
1.000 0.474 0.421
1.000 0.526 0.379
1.000 0.579 0.337
1.000 0.632 0.295
1.000 0.684 0.253
1.000 0.737 0.211
1.000 0.789 0.168
1.000 0.842 0.126
1.000 0.895 0.084
1.000 0.947 0.042
1.000 1.000 0.000

